[2026-01-21 19:11:56.914] 3.604V | 583.4mA | 9.10/120mAh | 9.10mAh_total | Status: CHARGING
[2026-01-21 19:11:57.915] 3.600V | 583.3mA | 9.26/120mAh | 9.26mAh_total | Status: CHARGING
[2026-01-21 19:11:58.915] 3.608V | 583.1mA | 9.42/120mAh | 9.42mAh_total | Status: CHARGING
[2026-01-21 19:11:59.913] 3.612V | 583.4mA | 9.59/120mAh | 9.59mAh_total | Status: CHARGING
[2026-01-21 19:12:00.926] 3.616V | 583.3mA | 9.75/120mAh | 9.75mAh_total | Status: CHARGING
[2026-01-21 19:12:01.927] 3.608V | 583.3mA | 9.91/120mAh | 9.91mAh_total | Status: CHARGING
[2026-01-21 19:12:02.928] 3.616V | 583.1mA | 10.07/120mAh | 10.07mAh_total | Status: CHARGING
[2026-01-21 19:12:03.933] 3.608V | 583.1mA | 10.24/120mAh | 10.24mAh_total | Status: CHARGING
[2026-01-21 19:12:04.923] 3.616V | 582.9mA | 10.40/120mAh | 10.40mAh_total | Status: CHARGING
[2026-01-21 19:12:05.924] 3.616V | 583.2mA | 10.56/120mAh | 10.56mAh_total | Status: CHARGING
[2026-01-21 19:12:06.928] 3.620V | 582.7mA | 10.72/120mAh | 10.72mAh_total | Status: CHARGING
[2026-01-21 19:12:07.933] 3.616V | 582.8mA | 10.89/120mAh | 10.89mAh_total | Status: CHARGING
[2026-01-21 19:12:08.944] 3.620V | 582.2mA | 11.05/120mAh | 11.05mAh_total | Status: CHARGING
[2026-01-21 19:12:09.936] 3.620V | 583.4mA | 11.21/120mAh | 11.21mAh_total | Status: CHARGING
[2026-01-21 19:12:10.947] 3.624V | 583.2mA | 11.37/120mAh | 11.37mAh_total | Status: CHARGING
[2026-01-21 19:12:11.946] 3.628V | 582.7mA | 11.53/120mAh | 11.53mAh_total | Status: CHARGING
[2026-01-21 19:12:12.952] 3.616V | 582.8mA | 11.70/120mAh | 11.70mAh_total | Status: CHARGING
