time_s,voltage_V,current_A,soc_thuc,,,,,
43601.12,3.268,0,-0.006235,,,,,-1207.482
43602.123,3.268,-0.1,-0.006235,,,,,-1207.482
43603.108,3.268,0,-0.006235,,,,,-1207.482
43604.113,3.272,0,-0.006235,,,,,-1207.482
43605.113,3.268,0.1,-0.006235,,,,,-1207.482
43606.118,3.268,0,-0.006235,,,,,-1207.482
43607.119,3.272,0,-0.006235,,,,,-1207.482
43608.121,3.272,0,-0.006235,,,,,-1207.482
43609.107,3.272,0.2,-0.006235,,,,,-1207.482
43610.123,3.272,0.1,-0.006235,,,,,-1207.482
43611.12,3.268,0.2,-0.006235,,,,,-1207.482
43612.119,3.272,0,-0.006235,,,,,-1207.482
43613.12,3.268,0,-0.006235,,,,,-1207.482
43614.12,3.268,-0.1,-0.006235,,,,,-1207.482
43615.109,3.272,0.1,-0.006235,,,,,-1207.482
43616.11,3.272,0,-0.006235,,,,,-1207.482
43617.11,3.272,0.1,-0.006235,,,,,-1207.482
43618.123,3.268,0.1,-0.006235,,,,,-1207.482
43619.12,3.272,0.1,-0.006235,,,,,-1207.482
43620.122,3.272,0,-0.006235,,,,,-1207.482
43621.12,3.272,-0.2,-0.006235,,,,,-1207.482
43622.12,3.272,0.1,-0.006235,,,,,-1207.482
43623.12,3.272,-0.1,-0.006235,,,,,-1207.482
43624.12,3.272,-0.1,-0.006235,,,,,-1207.482
43625.119,3.272,0.1,-0.006235,,,,,-1207.482
43626.116,3.268,0.1,-0.006235,,,,,-1207.482
43627.113,3.272,0,-0.006235,,,,,-1207.482
43628.111,3.272,-0.2,-0.006235,,,,,-1207.482
43629.108,3.268,0,-0.006235,,,,,-1207.482
43630.121,3.272,0.1,-0.006235,,,,,-1207.482
43631.119,3.272,0,-0.006235,,,,,-1207.482
43632.113,3.272,0.1,-0.006235,,,,,-1207.482
43633.108,3.272,0.1,-0.006235,,,,,-1207.482
43634.119,3.272,0.2,-0.006235,,,,,-1207.482
43635.117,3.272,0,-0.006235,,,,,-1207.482
43636.117,3.272,-0.1,-0.006235,,,,,-1207.482
43637.119,3.272,0.2,-0.006235,,,,,-1207.482
43638.108,3.272,0,-0.006235,,,,,-1207.482
43639.11,3.268,-0.1,-0.006235,,,,,-1207.482
43640.112,3.272,0,-0.006235,,,,,-1207.482
43641.117,3.272,0,-0.006235,,,,,-1207.482
43642.117,3.268,0.1,-0.006235,,,,,-1207.482
43643.116,3.272,0.1,-0.006235,,,,,-1207.482
43644.118,3.276,-0.3,-0.006235,,,,,-1207.482
43645.122,3.268,0,-0.006235,,,,,-1207.482
43646.111,3.272,0.1,-0.006235,,,,,-1207.482
43647.113,3.272,0.2,-0.006235,,,,,-1207.482
43648.113,3.272,0.1,-0.006235,,,,,-1207.482
43649.112,3.272,0,-0.006235,,,,,-1207.482
43650.11,3.272,-0.2,-0.006235,,,,,-1207.482
43651.107,3.272,0,-0.006235,,,,,-1207.482
43652.111,3.268,0,-0.006235,,,,,-1207.482
43653.113,3.272,0.2,-0.006235,,,,,-1207.482
43654.112,3.272,-0.2,-0.006235,,,,,-1207.482
43655.117,3.268,0.3,-0.006235,,,,,-1207.482
43656.116,3.272,-0.1,-0.006235,,,,,-1207.482
43657.118,3.272,-0.1,-0.006235,,,,,-1207.482
43658.118,3.272,0.1,-0.006235,,,,,-1207.482
43659.109,3.272,-0.1,-0.006235,,,,,-1207.482
43660.111,3.272,-0.2,-0.006235,,,,,-1207.482
43661.112,3.272,0,-0.006235,,,,,-1207.482
43662.115,3.272,0.3,-0.006235,,,,,-1207.482
43663.114,3.272,-0.1,-0.006235,,,,,-1207.482
43664.114,3.272,0.2,-0.006235,,,,,-1207.482
43665.111,3.268,0,-0.006235,,,,,-1207.482
43666.113,3.272,0.1,-0.006235,,,,,-1207.482
43667.112,3.268,0.2,-0.006235,,,,,-1207.482
43668.112,3.272,-0.2,-0.006235,,,,,-1207.482
43669.115,3.272,0.3,-0.006235,,,,,-1207.482
43670.119,3.272,0,-0.006235,,,,,-1207.482
43671.109,3.272,0,-0.006235,,,,,-1207.482
43672.11,3.272,0.5,-0.006235,,,,,-1207.482
43673.113,3.272,0.1,-0.006235,,,,,-1207.482
43674.116,3.272,0,-0.006235,,,,,-1207.482
43675.117,3.268,-0.2,-0.006235,,,,,-1207.482
43676.116,3.272,0,-0.006235,,,,,-1207.482
43677.121,3.272,0,-0.006235,,,,,-1207.482
43678.11,3.272,-0.1,-0.006235,,,,,-1207.482
43679.113,3.272,0.1,-0.006235,,,,,-1207.482
43680.115,3.268,0,-0.006235,,,,,-1207.482
43681.118,3.272,0.1,-0.006235,,,,,-1207.482
43682.12,3.268,0.3,-0.006235,,,,,-1207.482
43683.12,3.272,0.1,-0.006235,,,,,-1207.482
43684.121,3.272,-0.1,-0.006235,,,,,-1207.482
43685.109,3.272,0,-0.006235,,,,,-1207.482
