[2026-01-14 01:27:36.621] V: 4.1520V | I: 0.2000mA | Chu ky: 0.01/120mAh | Tong: 0.01mAh | Tinh trang: DANG XA
[2026-01-14 01:27:37.131] V: 4.1480V | I: 0.2000mA | Chu ky: 0.01/120mAh | Tong: 0.01mAh | Tinh trang: DANG XA
[2026-01-14 01:27:37.629] V: 4.1480V | I: 0.2000mA | Chu ky: 0.01/120mAh | Tong: 0.01mAh | Tinh trang: DANG XA
[2026-01-14 01:27:38.128] V: 4.1480V | I: 0.3000mA | Chu ky: 0.01/120mAh | Tong: 0.01mAh | Tinh trang: DANG XA
[2026-01-14 01:27:38.622] V: 4.1480V | I: 0.2000mA | Chu ky: 0.01/120mAh | Tong: 0.01mAh | Tinh trang: DANG XA
[2026-01-14 01:27:39.134] V: 4.1520V | I: 0.3000mA | Chu ky: 0.01/120mAh | Tong: 0.01mAh | Tinh trang: DANG XA
[2026-01-14 01:27:39.621] V: 4.1480V | I: 0.2000mA | Chu ky: 0.01/120mAh | Tong: 0.01mAh | Tinh trang: DANG XA
[2026-01-14 01:27:40.128] V: 4.1520V | I: 0.0000mA | Chu ky: 0.01/120mAh | Tong: 0.01mAh | Tinh trang: DANG XA
[2026-01-14 01:27:40.620] V: 4.1520V | I: 0.1000mA | Chu ky: 0.01/120mAh | Tong: 0.01mAh | Tinh trang: DANG XA
[2026-01-14 01:27:41.127] V: 4.1480V | I: 0.2000mA | Chu ky: 0.01/120mAh | Tong: 0.01mAh | Tinh trang: DANG XA
[2026-01-14 01:27:41.621] V: 4.1480V | I: 0.4000mA | Chu ky: 0.01/120mAh | Tong: 0.01mAh | Tinh trang: DANG XA
[2026-01-14 01:27:42.133] V: 4.1480V | I: 0.2000mA | Chu ky: 0.01/120mAh | Tong: 0.01mAh | Tinh trang: DANG XA
[2026-01-14 01:27:42.635] V: 4.1480V | I: 0.1000mA | Chu ky: 0.01/120mAh | Tong: 0.01mAh | Tinh trang: DANG XA
[2026-01-14 01:27:43.120] V: 4.1480V | I: 0.2000mA | Chu ky: 0.01/120mAh | Tong: 0.01mAh | Tinh trang: DANG XA
[2026-01-14 01:27:43.623] V: 4.1520V | I: 0.1000mA | Chu ky: 0.01/120mAh | Tong: 0.01mAh | Tinh trang: DANG XA
[2026-01-14 01:27:44.133] V: 4.1480V | I: 0.1000mA | Chu ky: 0.01/120mAh | Tong: 0.01mAh | Tinh trang: DANG XA
[2026-01-14 01:27:44.625] V: 4.1480V | I: 0.1000mA | Chu ky: 0.01/120mAh | Tong: 0.01mAh | Tinh trang: DANG XA
[2026-01-14 01:27:45.125] V: 4.1480V | I: 0.2000mA | Chu ky: 0.01/120mAh | Tong: 0.01mAh | Tinh trang: DANG XA
[2026-01-14 01:27:45.629] V: 4.1480V | I: 0.3000mA | Chu ky: 0.01/120mAh | Tong: 0.01mAh | Tinh trang: DANG XA
[2026-01-14 01:27:46.125] V: 4.1480V | I: 0.1000mA | Chu ky: 0.01/120mAh | Tong: 0.01mAh | Tinh trang: DANG XA
[2026-01-14 01:27:46.631] V: 4.1520V | I: 0.3000mA | Chu ky: 0.01/120mAh | Tong: 0.01mAh | Tinh trang: DANG XA
[2026-01-14 01:27:47.125] V: 4.1520V | I: 0.1000mA | Chu ky: 0.01/120mAh | Tong: 0.01mAh | Tinh trang: DANG XA
[2026-01-14 01:27:47.624] V: 4.1480V | I: 0.1000mA | Chu ky: 0.01/120mAh | Tong: 0.01mAh | Tinh trang: DANG XA
[2026-01-14 01:27:48.126] V: 4.1480V | I: 0.2000mA | Chu ky: 0.01/120mAh | Tong: 0.01mAh | Tinh trang: DANG XA
[2026-01-14 01:27:48.631] V: 4.1520V | I: 0.1000mA | Chu ky: 0.01/120mAh | Tong: 0.01mAh | Tinh trang: DANG XA
[2026-01-14 01:27:49.131] V: 4.1560V | I: 0.3000mA | Chu ky: 0.01/120mAh | Tong: 0.01mAh | Tinh trang: DANG XA
[2026-01-14 01:27:49.626] V: 4.1480V | I: 0.1000mA | Chu ky: 0.01/120mAh | Tong: 0.01mAh | Tinh trang: DANG XA
