time_s,voltage_V,current_A,soc_k,soc_c,state,timestamp
33348.396,4.152,-0.0,1.0,1.0,CHG,2026-01-20 08:14:49.471
33349.403,4.148,-0.0,1.0,1.0,CHG,2026-01-20 08:14:50.478
33350.394,4.144,-0.0,1.0,1.0,CHG,2026-01-20 08:14:51.469
33351.4,4.148,-0.0,1.0,1.0,CHG,2026-01-20 08:14:52.475
33352.407,4.144,0.0,1.0,1.0,CHG,2026-01-20 08:14:53.482
33353.402,4.144,0.0,1.0,1.0,CHG,2026-01-20 08:14:54.477
33354.412,4.148,-0.0,1.0,1.0,CHG,2026-01-20 08:14:55.487
33355.404,4.148,-0.0,1.0,1.0,CHG,2026-01-20 08:14:56.479
33356.413,4.148,-0.0,1.0,1.0,CHG,2026-01-20 08:14:57.488
33357.404,4.144,-0.0,1.0,1.0,CHG,2026-01-20 08:14:58.479
33358.414,4.148,-0.0,1.0,1.0,CHG,2026-01-20 08:14:59.489
33359.42,4.144,0.0,1.0,1.0,CHG,2026-01-20 08:15:00.495
33360.416,4.152,-0.0,1.0,1.0,CHG,2026-01-20 08:15:01.491
33361.425,4.148,-0.0,1.0,1.0,CHG,2026-01-20 08:15:02.500
33362.418,4.148,0.0,1.0,1.0,CHG,2026-01-20 08:15:03.493
33363.429,4.148,0.0,1.0,1.0,CHG,2026-01-20 08:15:04.504
33364.417,4.144,-0.0,1.0,1.0,CHG,2026-01-20 08:15:05.492
33365.428,4.148,-0.0,1.0,1.0,CHG,2026-01-20 08:15:06.503
33366.432,4.148,-0.0,1.0,1.0,CHG,2026-01-20 08:15:07.507
33367.427,4.148,-0.0,1.0,1.0,CHG,2026-01-20 08:15:08.502
33368.429,4.144,-0.0,1.0,1.0,CHG,2026-01-20 08:15:09.504
33369.438,4.144,0.0,1.0,1.0,CHG,2026-01-20 08:15:10.513
33370.432,4.144,0.0,1.0,1.0,CHG,2026-01-20 08:15:11.507
33371.439,4.148,-0.0,1.0,1.0,CHG,2026-01-20 08:15:12.514
33372.448,4.148,-0.0,1.0,1.0,CHG,2026-01-20 08:15:13.523
33373.44,4.148,0.0,1.0,1.0,CHG,2026-01-20 08:15:14.515
33374.446,4.144,-0.0,1.0,1.0,CHG,2026-01-20 08:15:15.521
33375.45,4.148,-0.0,1.0,1.0,CHG,2026-01-20 08:15:16.525
33376.455,4.144,-0.0,1.0,1.0,CHG,2026-01-20 08:15:17.530
33377.445,4.144,-0.0,1.0,1.0,CHG,2026-01-20 08:15:18.520
33378.457,4.144,-0.0,1.0,1.0,CHG,2026-01-20 08:15:19.532
33379.452,4.148,-0.0,1.0,1.0,CHG,2026-01-20 08:15:20.527
33380.455,4.148,0.0,1.0,1.0,CHG,2026-01-20 08:15:21.530
33381.466,4.144,0.0,1.0,1.0,CHG,2026-01-20 08:15:22.541
33382.46,4.148,-0.0,1.0,1.0,CHG,2026-01-20 08:15:23.535
33383.468,4.144,-0.0,1.0,1.0,CHG,2026-01-20 08:15:24.543
33384.459,4.148,0.0,1.0,1.0,CHG,2026-01-20 08:15:25.534
33385.469,4.148,0.0,1.0,1.0,CHG,2026-01-20 08:15:26.544
33386.462,4.144,-0.0,1.0,1.0,CHG,2026-01-20 08:15:27.537
33387.471,4.148,-0.0,1.0,1.0,CHG,2026-01-20 08:15:28.546
33388.468,4.144,0.0,1.0,1.0,CHG,2026-01-20 08:15:29.543
33389.473,4.148,-0.0,1.0,1.0,CHG,2026-01-20 08:15:30.548
33390.482,4.148,0.0,1.0,1.0,CHG,2026-01-20 08:15:31.557
33391.475,4.148,-0.0,1.0,1.0,CHG,2026-01-20 08:15:32.550
33392.485,4.144,-0.0,1.0,1.0,CHG,2026-01-20 08:15:33.560
33393.489,4.144,-0.0,1.0,1.0,CHG,2026-01-20 08:15:34.564
33394.487,4.144,-0.0,1.0,1.0,CHG,2026-01-20 08:15:35.562
33395.494,4.148,-0.0,1.0,1.0,CHG,2026-01-20 08:15:36.569
33396.486,4.144,-0.0,1.0,1.0,CHG,2026-01-20 08:15:37.561
33397.497,4.148,-0.0,1.0,1.0,CHG,2026-01-20 08:15:38.572
